"Sexo","Trat","Puntaje"
"Hombre","Control",9.18940137592187
"Hombre","Control",11.416143863166
"Hombre","Control",12.6266617650246
"Hombre","Control",7.48145344605598
"Hombre","Control",11.6436870332166
"Hombre","Control",11.7590838382364
"Hombre","Control",10.137890059798
"Hombre","Control",10.1800522163237
"Hombre","Control",10.1533220013601
"Hombre","Control",9.66494325643384
"Hombre","Control",10.2842109503697
"Hombre","Control",9.50242033271044
"Hombre","Control",9.83561915804301
"Hombre","Control",11.0966882259144
"Hombre","Control",12.4392410884562
"Hombre","Control",10.8345717584138
"Hombre","Control",10.23348574129
"Hombre","Control",9.63320687505528
"Hombre","Control",9.74424247959659
"Hombre","Control",14.623752767734
"Hombre","Trat1",7.20113233022805
"Hombre","Trat1",6.26397115496359
"Hombre","Trat1",6.33917819147016
"Hombre","Trat1",7.68938416150878
"Hombre","Trat1",5.95941962959379
"Hombre","Trat1",4.82769263442029
"Hombre","Trat1",7.86213358135109
"Hombre","Trat1",5.46451641555418
"Hombre","Trat1",6.97729254945373
"Hombre","Trat1",5.59607709824741
"Hombre","Trat1",8.65344631930039
"Hombre","Trat1",6.28661038169641
"Hombre","Trat1",5.93583994373124
"Hombre","Trat1",6.24811290910786
"Hombre","Trat1",4.55635979638194
"Hombre","Trat1",5.24857110685872
"Hombre","Trat1",3.72994052657699
"Hombre","Trat1",4.98851021184996
"Hombre","Trat1",6.55855921185443
"Hombre","Trat1",6.30115368939083
"Hombre","Trat2",10.1742443979307
"Hombre","Trat2",6.39703591448813
"Hombre","Trat2",6.71695304939374
"Hombre","Trat2",7.57906549706382
"Hombre","Trat2",6.5084898855565
"Hombre","Trat2",6.54722852319193
"Hombre","Trat2",6.33902271103735
"Hombre","Trat2",6.12202117154159
"Hombre","Trat2",7.21425782151897
"Hombre","Trat2",7.25472506409995
"Hombre","Trat2",5.29095311479708
"Hombre","Trat2",7.126886112966
"Hombre","Trat2",6.33666556335983
"Hombre","Trat2",6.47755698576199
"Hombre","Trat2",7.75653571466477
"Hombre","Trat2",8.84458372849178
"Hombre","Trat2",10.4717262092226
"Hombre","Trat2",6.83996986408446
"Hombre","Trat2",10.4088644432859
"Hombre","Trat2",6.26328717845839
"Mujer","Control",11.9848826964992
"Mujer","Control",14.8234866060768
"Mujer","Control",10.9478594152942
"Mujer","Control",9.99554963050706
"Mujer","Control",10.9885928664335
"Mujer","Control",13.6656266722151
"Mujer","Control",9.29208839487364
"Mujer","Control",13.0517407691349
"Mujer","Control",12.9943471861735
"Mujer","Control",11.5047091958057
"Mujer","Control",11.0103392576629
"Mujer","Control",10.3167968927579
"Mujer","Control",10.4502141006891
"Mujer","Control",11.9724298512547
"Mujer","Control",14.1054062919964
"Mujer","Control",10.7699023812995
"Mujer","Control",8.91394857994776
"Mujer","Control",9.91462733433477
"Mujer","Control",11.3873926432518
"Mujer","Control",10.5244113275582
"Mujer","Trat1",4.73331506350356
"Mujer","Trat1",4.74500888471819
"Mujer","Trat1",2.94154717118496
"Mujer","Trat1",4.73931924437895
"Mujer","Trat1",6.27534838568283
"Mujer","Trat1",6.04641306750238
"Mujer","Trat1",5.82499602663665
"Mujer","Trat1",4.39590203682857
"Mujer","Trat1",4.71260934428228
"Mujer","Trat1",3.20820818059623
"Mujer","Trat1",4.92026177188501
"Mujer","Trat1",5.38279400149375
"Mujer","Trat1",7.55894601086011
"Mujer","Trat1",6.50226987854517
"Mujer","Trat1",4.25662483549781
"Mujer","Trat1",5.53332544549962
"Mujer","Trat1",3.29808793469923
"Mujer","Trat1",6.31730544042844
"Mujer","Trat1",6.45937513006418
"Mujer","Trat1",8.18167565806351
"Mujer","Trat2",8.62178530156248
"Mujer","Trat2",7.28792228970596
"Mujer","Trat2",8.09899024055669
"Mujer","Trat2",7.2462833264092
"Mujer","Trat2",6.761002119306
"Mujer","Trat2",8.25048391962948
"Mujer","Trat2",6.65560306063286
"Mujer","Trat2",8.25227808148364
"Mujer","Trat2",8.53245239152228
"Mujer","Trat2",7.9218423246933
"Mujer","Trat2",7.70609807192562
"Mujer","Trat2",7.02639537259136
"Mujer","Trat2",6.3353491529019
"Mujer","Trat2",9.27391130398259
"Mujer","Trat2",8.03354378911404
"Mujer","Trat2",9.24671092596025
"Mujer","Trat2",6.13356822298366
"Mujer","Trat2",8.25353962064926
"Mujer","Trat2",9.00974946042152
"Mujer","Trat2",7.96058543532721
